feature,coefficient,abs_coefficient
spl_effective_age_1,0.005889338623648748,0.005889338623648748
bedrooms,-0.005799543030095807,0.005799543030095807
house_age,-0.005587633351657455,0.005587633351657455
zip_x_cond,0.005576910286561881,0.005576910286561881
cluster_6,0.005568568366054265,0.005568568366054265
age_x_reno,0.005412510817869361,0.005412510817869361
knn_iqr,-0.004889533371671196,0.004889533371671196
spl_log_sqft_lot_4,-0.004881571419479485,0.004881571419479485
spl_log_sqft_lot_2,0.004770326056403486,0.004770326056403486
spl_log_sqft_living_1,-0.00472860882440329,0.00472860882440329
zip_std,0.004629114614389684,0.004629114614389684
log_sqft_basement,-0.0038123456921408568,0.0038123456921408568
spl_effective_age_0,-0.0036432123508286698,0.0036432123508286698
condition_sq,0.003338366227471113,0.003338366227471113
age_x_cond,0.0032308605587389344,0.0032308605587389344
age_decade,-0.0030295074777701367,0.0030295074777701367
cluster_dist,0.002702520242951914,0.002702520242951914
spl_log_sqft_lot_5,-0.002631281864891698,0.002631281864891698
sale_cos_month,-0.0026292894539645447,0.0026292894539645447
high_view,0.0026272682692505805,0.0026272682692505805
log_sqft_lot,0.002467493152687585,0.002467493152687585
spl_house_age_3,0.0021618065728906282,0.0021618065728906282
log_living_x_rooms,-0.0021553582181840928,0.0021553582181840928
log_living_to_lot,-0.0019914281727394646,0.0019914281727394646
spl_city_enc_2,0.0019866489164174117,0.0019866489164174117
high_condition,-0.0017956670474002243,0.0017956670474002243
spl_house_age_2,-0.0017418309665649659,0.0017418309665649659
total_rooms,0.001740096953998129,0.001740096953998129
modern_build,-0.0017036775065858048,0.0017036775065858048
effective_age,-0.0017007865463513614,0.0017007865463513614
condition,0.001657976809709357,0.001657976809709357
spl_effective_age_2,-0.0015822084042534815,0.0015822084042534815
new_build,-0.0015720470134839301,0.0015720470134839301
many_bedrooms,-0.0015305280759066533,0.0015305280759066533
was_renovated,-0.0014160173561596542,0.0014160173561596542
wf_x_zip,0.0013100294828626074,0.0013100294828626074
spl_log_sqft_lot_0,0.001300094082122225,0.001300094082122225
spl_city_enc_0,0.0012717433371226662,0.0012717433371226662
cluster_7,-0.00107754929036945,0.00107754929036945
log_sqft_lot_sq,0.0010165589803716386,0.0010165589803716386
log_effective_age_sq,-0.0010061808770303019,0.0010061808770303019
waterfront,0.0009439470955883417,0.0009439470955883417
knn_local_vs_broad,-0.000793005475277777,0.000793005475277777
cluster_4,0.000759032560280467,0.000759032560280467
cluster_5,0.00046344628889492665,0.00046344628889492665
cluster_3,-0.0003654241283466654,0.0003654241283466654
premium,-0.00014407446893424636,0.00014407446893424636
knn_broad_std,-0.00010417510157234702,0.00010417510157234702
living_to_lot,-2.341477311961488e-05,2.341477311961488e-05
